"chart_position","chart_date","song","artist","instance","time_on_chart","consecutive_weeks","previous_week","peak_position","worst_position","year","month","week","main_genres","spotify_song_id","spotify_artist_id","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","Genre_Pop","Genre_Rock","Genre_Country","Genre_JazzBlues","Genre_SoulFunk","Genre_HipHopRap","Genre_ElectronicDance","Genre_RnBReggae","Genre_ClassicFolk","Genre_WorldRegional","Genre_IndieAlt"
1,"1958-08-02","Poor Little Fool","Ricky Nelson",1,1,NA,NA,1,1,1958,8,31,"classic_folk, r&b_reggae, rock","5ayybTSXNwcarDtxQKqvWX","73sSFVlM6pkweLXE8qw1OS","adult standards, doo-wop, rock-and-roll, rockabilly",0.474,0.338,0,-11.528,1,0.0299,0.648,0,0.13,0.81,154.596,0,1,0,0,0,0,0,1,1,0,0
1,"1958-08-09","Poor Little Fool","Ricky Nelson",1,2,1,1,1,1,1958,8,32,"classic_folk, r&b_reggae, rock","5ayybTSXNwcarDtxQKqvWX","73sSFVlM6pkweLXE8qw1OS","adult standards, doo-wop, rock-and-roll, rockabilly",0.474,0.338,0,-11.528,1,0.0299,0.648,0,0.13,0.81,154.596,0,1,0,0,0,0,0,1,1,0,0
1,"1958-08-16","Nel Blu Dipinto Di Blu (Volaré)","Domenico Modugno",1,3,2,2,1,54,1958,8,33,"pop, world_regional","2IKvYPWeWZufWdh3n306sK","4llklDtTTyMYMY2LfFOkTI","classic italian pop, italian adult pop",0.371,0.189,11,-14.662,0,0.0405,0.955,3.67e-06,0.169,0.476,128.956,1,0,0,0,0,0,0,0,0,1,0
1,"1958-08-23","Little Star","The Elegants",1,4,3,2,1,18,1958,8,34,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
2,"1958-08-30","Little Star","The Elegants",1,5,4,1,1,18,1958,8,35,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
2,"1958-09-06","Little Star","The Elegants",1,6,5,2,1,18,1958,9,36,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
3,"1958-09-13","Little Star","The Elegants",1,7,6,2,1,18,1958,9,37,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
4,"1958-09-20","Little Star","The Elegants",1,8,7,3,1,18,1958,9,38,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
5,"1958-09-27","Little Star","The Elegants",1,9,8,4,1,18,1958,9,39,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
5,"1958-10-04","Little Star","The Elegants",1,10,9,5,1,18,1958,10,40,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
8,"1958-10-11","Little Star","The Elegants",1,11,10,5,1,18,1958,10,41,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
13,"1958-10-18","Little Star","The Elegants",1,12,11,8,1,18,1958,10,42,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
13,"1958-10-25","Little Star","The Elegants",1,13,12,13,1,18,1958,10,43,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
21,"1958-11-01","Little Star","The Elegants",1,14,13,13,1,21,1958,11,44,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
40,"1958-11-08","Little Star","The Elegants",1,15,14,21,1,40,1958,11,45,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
82,"1958-11-15","Little Star","The Elegants",1,16,15,40,1,82,1958,11,46,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
78,"1958-11-22","Little Star","The Elegants",1,17,16,82,1,82,1958,11,47,"r&b_reggae","6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,0,0,0,0,0,0,0,1,0,0,0
10,"1958-11-29","It's All In The Game","Tommy Edwards",1,16,15,5,1,96,1958,11,48,"classic_folk, r&b_reggae, jazz_blues","2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,0,0,0,1,0,0,0,1,1,0,0
12,"1958-12-06","It's All In The Game","Tommy Edwards",1,17,16,10,1,96,1958,12,49,"classic_folk, r&b_reggae, jazz_blues","2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,0,0,0,1,0,0,0,1,1,0,0
25,"1958-12-13","It's All In The Game","Tommy Edwards",1,18,17,12,1,96,1958,12,50,"classic_folk, r&b_reggae, jazz_blues","2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,0,0,0,1,0,0,0,1,1,0,0
29,"1958-12-20","It's All In The Game","Tommy Edwards",1,19,18,25,1,96,1958,12,51,"classic_folk, r&b_reggae, jazz_blues","2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,0,0,0,1,0,0,0,1,1,0,0
38,"1958-12-27","It's All In The Game","Tommy Edwards",1,20,19,29,1,96,1958,12,52,"classic_folk, r&b_reggae, jazz_blues","2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,0,0,0,1,0,0,0,1,1,0,0
