"chart_position.x","chart_date.x","song","artist","instance.x","time_on_chart.x","consecutive_weeks.x","previous_week.x","peak_position.x","worst_position.x","year.x","month.x","week.x","chart_position.y","chart_date.y","instance.y","time_on_chart.y","consecutive_weeks.y","previous_week.y","peak_position.y","worst_position.y","year.y","month.y","week.y","spotify_song_id","spotify_artist_id","genres","main_genres"
1,1958-08-02,"Poor Little Fool","Ricky Nelson",1,1,NA,NA,1,1,1958,8,31,1,1958-08-02,1,1,NA,NA,1,1,1958,8,31,"5ayybTSXNwcarDtxQKqvWX","73sSFVlM6pkweLXE8qw1OS","adult standards, doo-wop, rock-and-roll, rockabilly","classic_folk, r&b_reggae, rock"
1,1958-08-09,"Poor Little Fool","Ricky Nelson",1,2,1,1,1,1,1958,8,32,1,1958-08-02,1,1,NA,NA,1,1,1958,8,31,"5ayybTSXNwcarDtxQKqvWX","73sSFVlM6pkweLXE8qw1OS","adult standards, doo-wop, rock-and-roll, rockabilly","classic_folk, r&b_reggae, rock"
1,1958-08-16,"Nel Blu Dipinto Di Blu (Volaré)","Domenico Modugno",1,3,2,2,1,54,1958,8,33,1,1958-08-16,1,3,2,2,1,54,1958,8,33,"2IKvYPWeWZufWdh3n306sK","4llklDtTTyMYMY2LfFOkTI","classic italian pop, italian adult pop","pop, world_regional"
1,1958-08-23,"Little Star","The Elegants",1,4,3,2,1,18,1958,8,34,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
2,1958-08-30,"Little Star","The Elegants",1,5,4,1,1,18,1958,8,35,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
2,1958-09-06,"Little Star","The Elegants",1,6,5,2,1,18,1958,9,36,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
3,1958-09-13,"Little Star","The Elegants",1,7,6,2,1,18,1958,9,37,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
4,1958-09-20,"Little Star","The Elegants",1,8,7,3,1,18,1958,9,38,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
5,1958-09-27,"Little Star","The Elegants",1,9,8,4,1,18,1958,9,39,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
5,1958-10-04,"Little Star","The Elegants",1,10,9,5,1,18,1958,10,40,1,1958-08-23,1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop","r&b_reggae"
