"chart_position","chart_date","song","artist","instance","time_on_chart","consecutive_weeks","previous_week","peak_position","worst_position","year","month","week","spotify_song_id","spotify_artist_id","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","main_genres"
1,"1958-08-02","Poor Little Fool","Ricky Nelson",1,1,NA,NA,1,1,1958,8,31,"5ayybTSXNwcarDtxQKqvWX","73sSFVlM6pkweLXE8qw1OS","adult standards, doo-wop, rock-and-roll, rockabilly",0.474,0.338,0,-11.528,1,0.0299,0.648,0,0.13,0.81,154.596,"classic_folk, r&b_reggae, rock"
1,"1958-08-16","Nel Blu Dipinto Di Blu (Volaré)","Domenico Modugno",1,3,2,2,1,54,1958,8,33,"2IKvYPWeWZufWdh3n306sK","4llklDtTTyMYMY2LfFOkTI","classic italian pop, italian adult pop",0.371,0.189,11,-14.662,0,0.0405,0.955,3.67e-06,0.169,0.476,128.956,"pop, world_regional"
1,"1958-08-23","Little Star","The Elegants",1,4,3,2,1,18,1958,8,34,"6xupOaBWORbDmakCdQwMRG","7bNoMfBqbaLJrfH3Vw1q6L","doo-wop",0.417,0.463,9,-8.027,1,0.03,0.762,0,0.223,0.627,72.568,"r&b_reggae"
10,"1958-11-29","It's All In The Game","Tommy Edwards",1,16,15,5,1,96,1958,11,48,"2tvt5K7y1gndmCgtIoLo1f","1ObAu0tz0NlOI6FNHTXchD","deep adult standards, doo-wop, rhythm and blues",0.471,0.337,3,-11.964,1,0.0267,0.509,6.73e-05,0.216,0.634,70.49,"classic_folk, r&b_reggae, jazz_blues"
36,"1959-01-17","It's Only Make Believe","Conway Twitty",1,19,18,22,1,65,1959,1,3,"1xVOttVNT27FBTD8iHjOfU","7gi3jmwpUpNWdswT8eEprF","arkansas country, classic country pop, country, country rock",0.461,0.466,11,-9.627,1,0.0598,0.86,2.76e-05,0.135,0.251,128.537,"country, world_regional, pop, rock"
32,"1959-02-07","To Know Him, Is To Love Him","The Teddy Bears",1,21,20,24,1,88,1959,2,6,"5msxn2HUcd83qOsuQW7Kdb","4JFunELhYa3ZrJnSWAZl3W",NA,0.26,0.312,2,-9.614,1,0.0303,0.939,3.66e-05,0.1,0.396,174.392,"pop"
16,"1959-02-28","Smoke Gets In Your Eyes","The Platters",1,16,15,12,1,86,1959,2,9,"2vSxjnyrWrtxyfzO47EX6q","6KWcxMWVNVIYbdOQyJtsSy","adult standards, easy listening, rock-and-roll, rockabilly",0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,"classic_folk, rock"
16,"1959-03-28","Stagger Lee","Lloyd Price",1,17,16,8,1,94,1959,3,13,"7qoaMWT3eRCKG1RN6dVuOY","3iOE5ItEv5xr9fmKi7GNh2","doo-wop, louisiana blues, memphis blues, new orleans blues, rhythm and blues, rock-and-roll, rockabilly",0.439,0.638,3,-6.859,1,0.0307,0.707,0,0.175,0.781,69.57,"r&b_reggae, jazz_blues, world_regional, rock"
9,"1959-05-02","Venus","Frankie Avalon",1,13,12,3,1,99,1959,5,18,"5kqXQHIgQ6UfFP9LfqPNgG","5zNOI87gG4RttFmYAZWaxQ","adult standards, bubblegum pop, doo-wop, easy listening, rock-and-roll, rockabilly",0.576,0.347,10,-18.755,1,0.0317,0.852,0.599,0.124,0.85,114.883,"classic_folk, pop, r&b_reggae, rock"
60,"1959-06-06","Come Softly To Me","The Fleetwoods",1,14,13,34,1,60,1959,6,23,"603N4XGJUTbK760GLCvIIs","673J686eeEXMYJorgQ70lX","doo-wop, vocal harmony group",0.601,0.095,1,-18.478,1,0.0374,0.93,0.000285,0.116,0.672,122.975,"r&b_reggae, classic_folk"
